trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.05, 'e': 0.1353352832366127}",30,0,-174.081946393469,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
81,False,"{'a': 0.05, 'e': 0.13199384318783022}",20,0,-38.10992071014031,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.12873490358780418}",35,0,-177.91426757156464,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
83,False,"{'a': 0.05, 'e': 0.1255564274931972}",20,0,-126.57678835260491,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
84,False,"{'a': 0.05, 'e': 0.12245642825298189}",25,0,-103.34416001663834,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.05, 'e': 0.11943296826671962}",20,4,14.815897209141493,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.11648415777349697}",25,0,-175.3480171920012,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
87,False,"{'a': 0.05, 'e': 0.11360815367076371}",35,0,-92.94169054922004,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.05, 'e': 0.11080315836233387}",20,0,-25.096816348915546,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.05, 'e': 0.10806741863482927}",30,0,-125.47447985050295,"{0: 21, 1: 6, 2: 0, 3: 0, 4: 3}",0
90,False,"{'a': 0.05, 'e': 0.10539922456186433}",20,0,-88.8950507465699,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.05, 'e': 0.1027969084352864}",20,0,-136.67981969506448,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
92,False,"{'a': 0.05, 'e': 0.1002588437228037}",35,0,-320.0440712304774,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 6}",0
93,False,"{'a': 0.05, 'e': 0.09778344405135005}",25,0,-206.6141909214416,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
